prompt_num,prompt,eesd_time_s,ar_time_s,acceptance_rate,tokens_accepted,tokens_total,speedup
1,भारत एक विविध देश है जहाँ कई भाषाएँ बोली जाती हैं।,8.57,3.45,0.575,100,174,0.4
2,हिंदी भारत की राजभाषा है और इसे करोड़ों लोग बोलते हैं।,9.15,3.29,0.502,101,201,0.36
3,दिल्ली भारत की राजधानी है और यह एक ऐतिहासिक शहर है।,7.71,3.4,0.595,100,168,0.44
4,ताजमहल आगरा में स्थित है और यह विश्व के सात अजूबों में से एक है।,10.13,3.32,0.45,100,222,0.33
5,गंगा नदी भारत की सबसे पवित्र नदी मानी जाती है।,9.98,3.3,0.457,100,219,0.33
6,भारत में लोकतंत्र की जड़ें बहुत गहरी हैं।,8.06,3.31,0.565,100,177,0.41
7,हिमालय पर्वत भारत की उत्तरी सीमा पर स्थित है।,8.55,3.3,0.529,100,189,0.39
8,भारतीय संविधान विश्व का सबसे लंबा लिखित संविधान है।,9.1,3.31,0.507,102,201,0.36
9,महात्मा गांधी को भारत का राष्ट्रपिता कहा जाता है।,7.09,3.33,0.647,101,156,0.47
10,भारत में अनेक धर्मों के लोग मिलजुल कर रहते हैं।,8.27,3.35,0.552,101,183,0.41
11,कृषि भारतीय अर्थव्यवस्था की रीढ़ है।,7.89,3.33,0.575,100,174,0.42
12,भारत में रेलवे नेटवर्क दुनिया के सबसे बड़े नेटवर्कों में से एक है।,8.47,3.32,0.543,101,186,0.39
13,योग और ध्यान की परंपरा भारत में हजारों वर्ष पुरानी है।,8.44,3.33,0.543,101,186,0.39
14,भारतीय खाना अपने मसालों और स्वाद के लिए दुनिया भर में प्रसिद्ध है।,7.74,3.32,0.591,101,171,0.43
15,चाय भारत में सबसे लोकप्रिय पेय पदार्थ है।,7.77,3.29,0.585,100,171,0.42
16,भारत का अंतरिक्ष कार्यक्रम तेजी से विकसित हो रहा है।,8.14,3.31,0.561,101,180,0.41
17,बॉलीवुड दुनिया का सबसे बड़ा फिल्म उद्योग है।,8.58,3.31,0.529,100,189,0.39
18,क्रिकेट भारत में सबसे लोकप्रिय खेल है।,7.77,3.3,0.585,100,171,0.42
19,भारत में शिक्षा का स्तर लगातार बढ़ रहा है।,7.62,3.32,0.595,100,168,0.44
20,कंप्यूटर विज्ञान आज के युग का सबसे महत्वपूर्ण विषय बन गया है।,8.21,3.38,0.561,101,180,0.41
21,मुंबई को भारत की आर्थिक राजधानी कहा जाता है।,8.02,3.35,0.565,100,177,0.42
22,वाराणसी दुनिया के सबसे पुराने शहरों में से एक है।,7.75,3.36,0.585,100,171,0.43
23,भारतीय शास्त्रीय संगीत की परंपरा बहुत समृद्ध है।,7.86,3.34,0.58,101,174,0.42
24,दीपावली भारत का सबसे बड़ा त्योहार है।,7.86,3.35,0.58,101,174,0.43
25,होली रंगों का त्योहार है जो पूरे भारत में मनाया जाता है।,7.91,3.31,0.58,101,174,0.42
26,राजस्थान अपने किलों और महलों के लिए प्रसिद्ध है।,8.61,3.3,0.54,102,189,0.38
27,केरल को भगवान का अपना देश कहा जाता है।,8.76,3.32,0.526,101,192,0.38
28,गोवा अपने समुद्र तटों के लिए विश्व प्रसिद्ध है।,8.19,3.32,0.556,100,180,0.41
29,भारत में सूचना प्रौद्योगिकी क्षेत्र में क्रांति आई है।,7.62,3.31,0.595,100,168,0.43
30,आयुर्वेद भारत की प्राचीन चिकित्सा पद्धति है।,8.31,3.32,0.546,100,183,0.4
31,भारत के ग्रामीण क्षेत्रों में विकास तेजी से हो रहा है।,7.63,3.38,0.595,100,168,0.44
32,नदियों का जल प्रदूषण एक गंभीर समस्या बन चुका है।,8.88,3.36,0.513,100,195,0.38
33,भारत में जनसंख्या वृद्धि एक बड़ी चुनौती है।,7.6,3.34,0.595,100,168,0.44
34,सौर ऊर्जा भविष्य की ऊर्जा का प्रमुख स्रोत है।,8.48,3.36,0.529,100,189,0.4
35,भारतीय सेना विश्व की सबसे शक्तिशाली सेनाओं में से एक है।,7.19,3.32,0.635,101,159,0.46
36,पर्यावरण संरक्षण आज के समय की सबसे बड़ी आवश्यकता है।,8.45,3.31,0.538,100,186,0.39
37,भारत में डिजिटल भुगतान का चलन तेजी से बढ़ा है।,7.11,3.31,0.641,100,156,0.47
38,स्वच्छ भारत अभियान ने देश में स्वच्छता के प्रति जागरूकता बढ़ाई है।,8.38,3.3,0.552,101,183,0.39
39,भारत का संविधान सभी नागरिकों को समान अधिकार प्रदान करता है।,7.78,3.32,0.585,100,171,0.43
40,प्राचीन भारत में गणित और विज्ञान में महत्वपूर्ण खोजें हुई थीं।,8.75,3.32,0.521,100,192,0.38
41,शून्य की खोज भारत की दुनिया को सबसे बड़ी देन है।,8.45,3.31,0.538,100,186,0.39
42,भारत में महिला सशक्तिकरण के लिए कई योजनाएँ चलाई जा रही हैं।,8.47,3.34,0.543,101,186,0.39
43,बच्चों की शिक्षा किसी भी राष्ट्र के विकास की नींव है।,7.63,3.37,0.595,100,168,0.44
44,प्रदूषण से बचने के लिए हमें पेड़ लगाने चाहिए।,7.08,3.33,0.647,101,156,0.47
45,इंटरनेट ने दुनिया को एक गाँव में बदल दिया है।,7.77,3.33,0.585,100,171,0.43
46,कृत्रिम बुद्धिमत्ता भविष्य की तकनीक का आधार है।,7.69,3.31,0.601,101,168,0.43
47,मोबाइल फोन ने संचार के तरीके को पूरी तरह बदल दिया है।,8.94,3.36,0.518,101,195,0.38
48,किसान देश की अर्थव्यवस्था में महत्वपूर्ण भूमिका निभाते हैं।,7.59,3.39,0.606,100,165,0.45
49,स्वास्थ्य सबसे बड़ा धन है इसलिए इसकी रक्षा करनी चाहिए।,8.63,3.31,0.529,100,189,0.38
50,पुस्तकें ज्ञान का सबसे अच्छा स्रोत हैं।,8.59,3.31,0.54,102,189,0.39
51,हिंदी साहित्य में कई महान लेखकों ने योगदान दिया है।,10.93,3.31,0.417,100,240,0.3
52,प्रेमचंद हिंदी साहित्य के सबसे प्रसिद्ध लेखकों में से एक हैं।,7.97,3.28,0.575,100,174,0.41
53,भारतीय नृत्य कलाएँ अपनी विविधता के लिए जानी जाती हैं।,7.78,3.31,0.591,101,171,0.43
54,भरतनाट्यम दक्षिण भारत की प्रमुख शास्त्रीय नृत्य शैली है।,8.58,3.3,0.529,100,189,0.38
55,कथक उत्तर भारत की प्रसिद्ध शास्त्रीय नृत्य शैली है।,8.04,3.29,0.565,100,177,0.41
56,भारत में विभिन्न राज्यों की अपनी अलग संस्कृति और परंपरा है।,7.73,3.34,0.591,101,171,0.43
57,तमिलनाडु अपने मंदिरों और संस्कृति के लिए प्रसिद्ध है।,8.11,3.35,0.576,102,177,0.41
58,कश्मीर को धरती का स्वर्ग कहा जाता है।,8.07,3.33,0.556,100,180,0.41
59,लद्दाख की प्राकृतिक सुंदरता पर्यटकों को आकर्षित करती है।,7.53,3.32,0.612,101,165,0.44
60,असम अपनी चाय बागानों और प्राकृतिक सौंदर्य के लिए जाना जाता है।,8.99,3.33,0.505,100,198,0.37
61,बंगाल अपनी कला और साहित्य की परंपरा के लिए विख्यात है।,9.06,3.26,0.507,102,201,0.36
62,रवींद्रनाथ टैगोर ने भारत को नोबेल पुरस्कार दिलाया था।,8.07,3.3,0.556,100,180,0.41
63,भारत में चुनाव लोकतंत्र का सबसे बड़ा उत्सव है।,7.27,3.31,0.642,102,159,0.46
64,गणतंत्र दिवस हर साल छब्बीस जनवरी को मनाया जाता है।,7.93,3.32,0.575,100,174,0.42
65,स्वतंत्रता दिवस पंद्रह अगस्त को पूरे देश में मनाया जाता है।,7.95,3.33,0.58,101,174,0.42
66,भारतीय रुपया देश की आधिकारिक मुद्रा है।,8.59,3.31,0.534,101,189,0.38
67,भारतीय रिजर्व बैंक देश का केंद्रीय बैंक है।,9.21,3.34,0.498,100,201,0.36
68,शेयर बाजार अर्थव्यवस्था का एक महत्वपूर्ण हिस्सा है।,7.95,3.33,0.586,102,174,0.42
69,भारत में स्टार्टअप संस्कृति तेजी से विकसित हो रही है।,8.58,3.33,0.529,100,189,0.39
70,बेंगलुरु को भारत की सिलिकॉन वैली कहा जाता है।,7.56,3.29,0.601,101,168,0.44
71,हैदराबाद अपने बिरयानी और चारमीनार के लिए प्रसिद्ध है।,7.94,3.33,0.565,100,177,0.42
72,जयपुर को गुलाबी शहर के नाम से जाना जाता है।,8.32,3.35,0.557,102,183,0.4
73,उदयपुर को झीलों का शहर कहा जाता है।,8.05,3.31,0.565,100,177,0.41
74,अमृतसर का स्वर्ण मंदिर सिख धर्म का सबसे पवित्र स्थान है।,8.88,3.34,0.513,100,195,0.38
75,कोणार्क का सूर्य मंदिर ओडिशा में स्थित एक विश्व धरोहर स्थल है।,8.9,3.31,0.518,101,195,0.37
76,खजुराहो के मंदिर अपनी अद्वितीय वास्तुकला के लिए प्रसिद्ध हैं।,7.52,3.3,0.606,100,165,0.44
77,भारत में वन्यजीव संरक्षण के लिए कई राष्ट्रीय उद्यान हैं।,8.91,3.32,0.523,102,195,0.37
78,बाघ भारत का राष्ट्रीय पशु है और इसका संरक्षण आवश्यक है।,8.4,3.34,0.557,102,183,0.4
79,मोर भारत का राष्ट्रीय पक्षी है जो अपनी सुंदरता के लिए जाना जाता है।,7.84,3.31,0.591,101,171,0.42
80,कमल भारत का राष्ट्रीय फूल है।,7.22,3.31,0.629,100,159,0.46
81,आम को फलों का राजा कहा जाता है और यह भारत का राष्ट्रीय फल है।,8.41,3.4,0.538,100,186,0.4
82,बनारसी साड़ी अपनी बुनाई और डिजाइन के लिए विश्व प्रसिद्ध है।,7.74,3.38,0.591,101,171,0.44
83,चंडीगढ़ भारत का एक सुनियोजित शहर है।,7.88,3.37,0.586,102,174,0.43
84,पंजाब को भारत का अन्न भंडार कहा जाता है।,7.71,3.3,0.585,100,171,0.43
85,गुजरात अपने उद्योगों और व्यापार के लिए जाना जाता है।,7.15,3.31,0.629,100,159,0.46
86,महाराष्ट्र भारत का सबसे औद्योगिक राज्य है।,8.02,3.29,0.565,100,177,0.41
87,भारत में रामायण और महाभारत दो प्रमुख महाकाव्य हैं।,8.71,3.3,0.521,100,192,0.38
88,संस्कृत को सभी भाषाओं की जननी माना जाता है।,7.91,3.32,0.58,101,174,0.42
89,भारत में परिवार की संस्था को बहुत महत्व दिया जाता है।,7.55,3.31,0.612,101,165,0.44
90,विज्ञान और प्रौद्योगिकी के क्षेत्र में भारत ने बहुत प्रगति की है।,8.48,3.32,0.543,101,186,0.39
91,चंद्रयान मिशन ने भारत को अंतरिक्ष में नई ऊँचाइयों पर पहुँचाया।,7.52,3.35,0.606,100,165,0.45
92,भारत में जलवायु परिवर्तन के प्रभाव स्पष्ट रूप से दिखाई दे रहे हैं।,9.01,3.32,0.51,101,198,0.37
93,नवीकरणीय ऊर्जा स्रोतों का उपयोग बढ़ाना समय की माँग है।,7.74,3.31,0.585,100,171,0.43
94,भारत की विदेश नीति शांति और सहयोग पर आधारित है।,7.84,3.34,0.58,101,174,0.43
95,संयुक्त राष्ट्र में भारत की भूमिका लगातार बढ़ रही है।,7.52,3.39,0.606,100,165,0.45
96,भारत दुनिया की सबसे तेजी से बढ़ती अर्थव्यवस्थाओं में से एक है।,7.71,3.3,0.595,100,168,0.43
97,शिक्षा में तकनीक के उपयोग ने सीखने के तरीके को बदल दिया है।,7.26,3.36,0.617,100,162,0.46
98,भारत के युवा देश के भविष्य की सबसे बड़ी ताकत हैं।,8.48,3.31,0.543,101,186,0.39
99,खेलों में भारत का प्रदर्शन लगातार सुधर रहा है।,7.14,3.38,0.654,102,156,0.47
100,ओलंपिक में भारतीय खिलाड़ियों ने कई पदक जीते हैं।,8.18,3.33,0.556,100,180,0.41
101,भारत में सड़क और परिवहन व्यवस्था में बहुत सुधार हुआ है।,7.74,3.33,0.591,101,171,0.43
